Timestamp,Epoch,Avg_Reward,Avg_Reversal,Num_Eval_Episodes
2025-03-24 01:54:20,660,29.8,22.8,20
2025-03-24 01:55:27,670,29.65,22.85,20
2025-03-24 01:56:36,680,31.0,22.4,20
2025-03-24 01:57:45,690,32.75,23.05,20
2025-03-24 01:58:54,700,31.3,22.3,20
2025-03-24 02:00:02,710,29.35,23.05,20
2025-03-24 02:01:11,720,31.8,22.7,20
2025-03-24 02:02:19,730,31.0,22.7,20
2025-03-24 02:03:27,740,31.25,22.55,20
2025-03-24 02:04:36,750,30.3,22.8,20
2025-03-24 02:05:44,760,30.0,22.9,20
2025-03-24 02:06:52,770,30.35,22.55,20
2025-03-24 02:08:00,780,30.65,22.45,20
2025-03-24 02:09:08,790,32.35,21.95,20
2025-03-24 02:10:15,800,31.45,22.45,20
2025-03-24 02:11:23,810,32.65,22.05,20
2025-03-24 02:12:31,820,32.0,22.4,20
2025-03-24 02:13:39,830,31.35,22.65,20
2025-03-24 02:14:46,840,31.45,22.95,20
2025-03-24 02:15:54,850,31.7,22.4,20
2025-03-24 02:17:01,860,31.9,22.2,20
2025-03-24 02:18:09,870,32.25,22.15,20
2025-03-24 02:19:17,880,31.4,22.4,20
2025-03-24 02:20:24,890,31.65,22.25,20
2025-03-24 02:21:32,900,30.6,22.7,20
2025-03-24 02:22:41,910,31.6,22.2,20
2025-03-24 02:23:49,920,30.0,22.8,20
2025-03-24 02:24:57,930,31.25,22.25,20
2025-03-24 02:26:06,940,32.95,22.25,20
2025-03-24 02:27:14,950,31.8,22.1,20
2025-03-24 02:28:23,960,29.75,22.75,20
2025-03-24 02:29:31,970,32.4,21.9,20
2025-03-24 02:30:40,980,30.05,22.65,20
2025-03-24 02:31:48,990,31.85,22.05,20
2025-03-24 02:32:56,1000,31.05,22.35,20
2025-03-24 02:34:04,1010,30.35,22.55,20
2025-03-24 02:35:12,1020,31.4,22.2,20
2025-03-24 02:36:20,1030,30.3,22.6,20
2025-03-24 02:37:28,1040,31.4,22.2,20
2025-03-24 02:38:36,1050,30.7,22.5,20
2025-03-24 02:39:44,1060,31.0,22.4,20
2025-03-24 02:40:52,1070,31.25,22.25,20
2025-03-24 02:42:00,1080,30.45,22.55,20
2025-03-24 02:43:08,1090,30.05,22.65,20
2025-03-24 02:44:16,1100,32.0,22.0,20
2025-03-24 02:45:25,1110,29.45,22.85,20
2025-03-24 02:46:32,1120,29.55,22.85,20
2025-03-24 02:47:42,1130,30.0,22.7,20
2025-03-24 02:48:50,1140,31.25,22.25,20
2025-03-24 02:49:59,1150,29.6,22.8,20
2025-03-24 02:51:08,1160,32.0,22.0,20
2025-03-24 02:52:16,1170,32.0,22.0,20
2025-03-24 02:53:25,1180,30.65,22.45,20
2025-03-24 02:54:34,1190,32.25,21.95,20
2025-03-24 02:55:42,1200,31.1,22.3,20
2025-03-24 02:56:51,1210,31.2,22.3,20
2025-03-24 02:57:59,1220,29.75,22.75,20
2025-03-24 02:59:08,1230,31.45,22.25,20
2025-03-24 03:00:16,1240,31.25,22.25,20
2025-03-24 03:01:24,1250,31.25,22.25,20
2025-03-24 03:02:31,1260,31.1,22.3,20
2025-03-24 03:03:39,1270,31.85,22.05,20
2025-03-24 03:04:49,1280,31.4,22.2,20
2025-03-24 03:05:57,1290,30.65,22.45,20
