Epoch,Episode,Episode_Reward,Avg_Loss,Actor_Loss,Critic_Loss,Entropy_Loss,Avg_Reversal,Crane_Move,Steps_in_Episode
110,32,85.59375,-7.391493773301442,-7.855002488613128,0.48567673496405284,-0.02216800498217344,67.03125,0.0,4800
111,32,82.9375,-7.355162439982096,-7.8150656808217365,0.48210238925615945,-0.02219914720331629,67.6875,0.0,4800
112,32,80.28125,-7.060159799257915,-7.52367892074585,0.4857468889951706,-0.022227771446108817,68.71875,0.0,4800
113,32,88.34375,-7.819252084732056,-8.27748419157664,0.4805247511665026,-0.022292648940036693,65.90625,0.0,4800
114,32,85.84375,-7.409806723912557,-7.873639164924621,0.48622355886300406,-0.022391112947215637,66.71875,0.0,4800
115,32,84.15625,-7.530623791694641,-7.993474051793417,0.48530847957730294,-0.022458235473682482,67.40625,0.0,4800
116,32,84.03125,-7.537816447575887,-7.999180912017822,0.4838748152653376,-0.022510354592154422,67.34375,0.0,4800
117,32,84.1875,-7.441162813981374,-7.901285520235698,0.4825363011757533,-0.02241360895956556,67.4375,0.0,4800
118,32,82.21875,-7.2050145807266235,-7.663441196759542,0.48081415907541913,-0.02238754179577033,67.90625,0.0,4800
119,32,83.84375,-7.343538480758667,-7.8109115746816,0.4897798840602239,-0.02240679438288013,67.46875,0.0,4800
120,32,85.3125,-7.504220500628153,-7.965438478469848,0.4836261419653893,-0.02240817531943321,67.0,0.0,4800
121,32,83.90625,-7.364141912460327,-7.829006285667419,0.4872787624200185,-0.022414393935352564,67.59375,0.0,4800
122,32,83.84375,-7.498528404871623,-7.960353678385417,0.4840788992643356,-0.022253611450393996,67.53125,0.0,4800
123,32,87.03125,-7.396434705416361,-7.866348567008973,0.4920302235484123,-0.022116363684336345,66.34375,0.0,4800
124,32,81.90625,-6.929592345555624,-7.392499149958293,0.4851181793212891,-0.022211378190666438,68.21875,0.0,4800
125,32,86.15625,-7.394991496404012,-7.85920764986674,0.48636422300338744,-0.022148064030955233,66.84375,0.0,4800
126,32,83.0625,-7.144229329427083,-7.6079880873362224,0.48603430757919946,-0.022275545864055554,67.875,0.0,4800
127,32,82.65625,-7.156016324361166,-7.617626619021098,0.48391477833191554,-0.022304484333842994,67.96875,0.0,4800
128,32,84.3125,-7.329130227088928,-7.79054486433665,0.48378598334391915,-0.022371343603978553,67.4375,0.0,4800
129,32,83.625,-7.314401110013326,-7.773343279202779,0.4813230703473091,-0.022380905100454887,67.5625,0.0,4800
130,32,87.75,-7.6475740152994796,-8.106720730145772,0.4815443312327067,-0.02239761752511064,66.0,0.0,4800
131,32,86.96875,-7.6487828038533525,-8.110628314336141,0.48428481127818424,-0.022439298051098983,66.34375,0.0,4800
132,32,84.21875,-7.401897080421448,-7.862396973450979,0.4829076756735643,-0.022407783498366675,67.28125,0.0,4800
133,32,83.5,-7.346660820802053,-7.8107658398946125,0.48654566119114556,-0.02244064484288295,67.4375,0.0,4800
134,32,81.1875,-7.11950973478953,-7.579138775507609,0.48208540626366936,-0.022456359246124824,68.25,0.0,4800
135,32,86.75,-7.643594073295593,-8.104020807902018,0.4829421338836352,-0.022515387412160633,66.5,0.0,4800
136,32,85.71875,-7.542047882715861,-8.000819492975872,0.48129265729586285,-0.022521046628554663,66.96875,0.0,4800
137,32,83.28125,-7.342518347104391,-7.807500040690104,0.48747175409396487,-0.022490057381490867,67.53125,0.0,4800
138,32,81.28125,-7.054889834721883,-7.5186390810012815,0.486329716026783,-0.02258047791942954,68.34375,0.0,4800
139,32,85.28125,-7.648278705279032,-8.111831677436829,0.4860424478054047,-0.022489468848953646,67.15625,0.0,4800
140,32,84.9375,-7.551155131657918,-8.01389700126648,0.48526677445570626,-0.022524910087386767,67.125,0.0,4800
141,32,85.0,-7.583021460533142,-8.049631885528564,0.4892293994029363,-0.022618976421654224,67.0625,0.0,4800
142,32,82.0625,-7.2466673072179155,-7.706079310735067,0.48188725008567174,-0.022475243567178647,68.125,0.0,4800
143,32,83.625,-7.3690169506073,-7.830718396186828,0.48411728837092716,-0.022415846607337395,67.6875,0.0,4800
144,32,82.5625,-7.295884728749593,-7.757978821436564,0.4845152779221535,-0.022421192259838185,67.8125,0.0,4800
145,32,82.65625,-7.351227840423584,-7.816835620880127,0.4880571833252907,-0.022449402718494337,68.03125,0.0,4800
146,32,80.5,-6.974703378359477,-7.436975539843242,0.4846860343416532,-0.022413866888731718,68.6875,0.0,4800
